Title,Rating,Body
Amazing,5.0,"I've used Chromebooks for years and have tried many brands. Samsung is the best, hands down.Some of my favorite features are long battery life, fast charging, no fan (it doesn't get super hot), ease of use, and simplicity. You can log on to a new one with your Gmail credentials and voila, you're up and running, just as before.This new version offers some great improvements.- Better performance. No lag during Zoom calls if you're on a decent connection, for example.- Type C charger you can share with other devices like Android smartphones- More solid shell and materials overallThe camera has not improved and I think my old one has a tiny advantage here. My Zoom setup looks brighter on my previous Chromebook for example.Overall, I love this Chromebook. I have a full laptop with a Linux build to do things that aren't suited for Chromebook but this is an excellent, lightweight solution for most of what I do for work.  High recommend."
Great Chromebook for the less discerning,5.0,"I needed a new Chromebook, but I specifically did not want the convertible kind with a touchscreen, and I did not want to pay more for features I actively did not want.  I also wanted one with an 11"" screen that had more memory and ram than the cheapest models.  This was pretty much the only Chromebook that fit those criteria.  I saw that most everyone liked it except for the screen, and I figured I had low enough demands for screen performance that it was worth a try.  I got a great deal on the 6/64 version, and I love it.  It's fast, lightweight, good keyboard, and the screen is fine for my philistine level of pixel appreciation.  If you like to watch movies etc. on your Chromebook I'd suggest taking into account the warnings from the other fine reviewers here, but if you just want to read, write, browse, and watch YouTube videos, you'll probably be satisfied."
The Oregon Trail of Screens,2.0,"Have you ever thought to yourself ""Man, I wish I could go back to Windows 97 and my giant desktop computer with it's impossibly dull screen""? Oh... no? OK, then you don't want this computer. I was actually shocked when I turned it on. Even Kindle Paperwhite's have a brighter screen. Mine also had a pixel out which was the icing on the cake. It's decent speed, but honestly I'd rather use a tablet than have this. Unless you are using it because you absolutely have to have a computer and you're straining your eyes to type a paper, look elsewhere. I bought it on Prime Day and trusted the quality of Samsung but I was let down."
Power charger is the HDMI out-put as well.,4.0,"A good little machine.  If you just want to use it to surf the internet and that sort of thing, can't beat the price.  I knew the screen wasn't going to be the best before i bought it, and in fairness the images are a little flat, but again I just use it as an internet surfer platform.  HOWEVER,..., what i wish I did know before i bought it, and would have been a reason why i WOULD NOT HAVE BOUGHT IT is the ports available.  It DOES NOT have an HDMI port, only the mini port which is how you charge it.  So i would also use my Chrome book to watch streaming on my TV, connecting it to my larger TV, to do so i had to buy an adapter to plug in a full size HDMI into the mini, but in doing so you CANNOT charge it, so if you are watching a movie, or anything you have to run off battery power, it will always have enough to get you through a movie, but the stress of watching the batter life slowly march down to zero really plays on my anxiety.  Further there is only one USB port, so if you have a cordless mouse plugged in you can't plug in any other USB, example, if you want to download from your phone you have to unplug the cordless mouse, which drives me nuts.  But do note that it has bluetooth capabilities so you can always get a blue tooth mouse to solve that problem, I'm just not tech savy enough to pull that off.  in the end the lack of a full size HDMI AND also a charger would make me buy a different machine, but i already have it, and i make it work, stress and all when running it off battery at my work station or TV.  Just something i wish i had looked into more before i bought it.  Hope that helps.  Also there isn't a 'Delete' button, why ?"
I’m done,1.0,"I don’t know if I received this broken or what, but I took it out of the box and set it up for my husband and it wouldn’t turn on, or do anything. So that was $200 down the drain. Now it’s a play computer for my year old son...."
Screen is absolute garbage,1.0,"I got two of these for the kids to use. The screens are absolutely horrible. Also NOT touchscreen despite misleading description. They make them borderline unusable. I also ordered acer Chromebook R11 and an acer spin 311. Both screens are so much better at basically the same price point, with similar build quality and features.DO NOT BUY THIS."
"Excellent. Very Authentic Craftsmanship. Shout-out to Samsung and Chrome Developer s, Manufacturer s",5.0,"Excellent. Very Authentic Craftsmanship.Shout-out to Samsung and Chrome Developer s, Manufacturer s, etc., Teams that were involved making this fluid Invention from out of our Lovely element's within our Earthly Creation.I'm taking my BA in Information Technology concentration Software Development & Analysis... and this is a great Beast of a Machine.🎯👁️🗝️⚡💯🤑👀"
Don't waste your money,1.0,"I have bought a lot of Samsung products in my 61 years. I have never had a minute's trouble with any of them until I bought this Samsung Chromebook. I am extremely dissatisfied with it. The cursor freezes up when I go to click on the time to get to settings. To be able to see the screen, I have to use the arrows to move back and forth across the screen. It is a small screen but still you should be able to see all of it after setting the resolution. I set the resolution but it won't stay. I am constantly having to reset it. To me, it is a waste of money. I so wish I had gotten the Windows Operating system. I do not recommend this product. Sadly, it is past the 30 days, and can't be returned."
Seemed worth the money but major hidden costs,1.0,"Fourth Update:A brief moment of connectivity assured me: ""You're connected to a Ethernet network."" Not just getting norked out of your two hundred smackers and your valuable time. Right? Not just serving to provide a connection to someone who lacks a valid visa, Right? Now's the time to dish the real dirt on the first purchase: it burned my legs, there was some bad circuitry or programming. This device is labeled as made in VietNam but I wouldn't be sure it's even that good. The price is cheap and the build is like from Mattel but this is no toy. Buyer Beware!!!The replacement seemed new enough & didn't burn my legs or fingers but I had to return it. Along with the bargain chromebook came some dedicated representatives of the seller/manufacturer...? Who set up camp across the creek from my cabin & have been diggling with the connections for weeks. Its been a total hassle. Still I wanted to avoid the bother of returning a $200 dollar purchase & tried & tried to make it work but just like the first purchased (killswitched) there has been an administrative kaibosh on internet access at the last day to return the thing. I was one hundred percent connected yet denied internet access (see screenshot) & had to use my older chromebook to set up the return.Updates: (third review)The replacement netbook from Samsung. Could Amazon be the unwitting host of a seller of stolen or even counterfeit goods? More and more programming irregularities keep  showing up. Like the pic I'm posting now: Prompted to use Guest Mode and/or Sign In when I already AM in Guest Mode...Still I really wanted to love the netbook but closer inspection showed more and more signs of excessive factory-programmed presets and physical scuff marks, even dings in the cover that evidenced this was a used chromebook. I would still give it four stars for the moments it did work, at one point my one-bar cell connection ran an hour-long documentary on Prime Video with virtually no interruptions, BUT once I attempted to use the logged-in owner account and install ZOOM and Bitdefender the thing just DIED!!! It won't charge, it won't turn on, NOTHING!!!Thank God I'm within the 30-day return period and bought the Assurion plan, but how disappointing to have to return it, it looks like if this sort of problem continues I might be profiled as a difficult customer.The main reason I selected this 6GB RAM Samsung Chromebook: the USB charging function, and for this I'd give it ten stars if possible.Drawbacks: The hi-speed charger that came with the unit just about overheated & I had to purchase the 45w adapter and a couple C-to-USB adapters separately, but my dream of keeping my off-grid connection charged from my rinkydink solar setup has now come true!Bonus Tips from a Non-techie: I'm not a techie here so I'm just wondering if the compatability between my Samsung phone and chromebook has boosted the connectivity through the use of tethering plus bluetooth. Whether it's the faster processor or whatnot, what took hours to load a 3-minute video before now loads instantly and this has saved me the time and expense of buying a signal booster.https://www.amazon.com/gp/product/B07K8G7663/ref=ppx_yo_dt_b_asin_title_o08_s01?ie=UTF8&psc=1https://www.amazon.com/gp/product/B08QMSZR2C/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1"
EXCELENTE PARA ESTUDIANTES Y NIÑOS,5.0,"Excelente para estudiantes, conectividad a internet wifi súper rápido, permite instalar office, zoom y full aplicaciones del play store. Tambien instale para mi hija netflix e iptv y corrieron super bien. Algo que me encantó fue el sonido realmente espectacular. Otra funcion super practica es la transmitir al chromecast la pantalla y sonido inalámbricamente. Super liviana y bonita (parece Mac 😅). Para trabajo no la recomiendo ya que las apps de office no son las completas; por ejemplo tablas dinámicas no hay la opción en excel."
Very handy and portable; not perfect,4.0,"Pros...I travel quite a lot and was looking for a simple, lightweight chromebook to check email, browse the internet and watch movies on, on the go. This works GREAT for that and I like that the battery life is good enough that I don't need to bring my cord on a one-day trip.The cons..... As others has mentioned, if you are not at the right angle, the screen will be black while you are watching something. That's easy to remedy when sitting, watching a movie alone; but it was very annoying while doing a fitness class via Zoom or watching something with another person. Also Zoom related, I found the camera to be pretty poor, especially in lower light. Final con is that it keeps giving me a message that I have ejected the SD card when I have not."
Worst of Everything,2.0,This is a phone disguised as a laptop and it can't even do what a phone can do. You cannot download and install any software. Not even office programs. It allows you to use Google docs but not very well. I feel like I've been beaten back before the '80s. Like I think word perfect did a better job. It only allows you to download phone apps which aren't super compatible on a laptop. This thing is a wreck and a mess. I usually love Google products. I have a Google Pixel phone. I have Gmail. I like these things. But Chromebooks are garbage. Save yourself the hassle and buy a laptop. You don't need a laptop pretending to be a phone that can't do half the things of phone can do and none of the things a laptop can do. You'd be better off buying a keyboard and attaching it to your phone. Horrible product.
"After only 2 months, it won't charge.",3.0,I absolutely love my new Chromebook but I'm very frustrated with the battery issues. The battery suddenly refuses to charge and I've done every step to troubleshoot and correct the problem.  Even my IT guy can't get it to cooperate.  I expected better from Samsung as my tablets and other products work just fine.
Satisfied Owner,4.0,"I got this for my daughter. She was used to the Asus 12.5"" chromebook with backlit keyboard and touch screen but has had no real complaints about this one.It is comfortable and light enough that she moves around with it easily.It has been working well since she got it for Christmas, 2020. It is being used for online classes so it gets the job done."
The screen on this Chromebook is useless.,1.0,"I was looking for something sample, the size is perfect and it looks good but the screen is useless on this one."
Power cord died in less than two months.,2.0,"Power cord died in less than two months.  I haven't been able to use the chromebook much because I have been working a lot, so there is absolutely no reason the cord should have died already.  I refuse to give it a higher review because this is ridiculous and I believe speaks volumes for the poor quality this company is fine with producing and selling."
Perfect,5.0,"I wasn't actually sure what to expect but I'm seriously happy with this little Samsung Chromebook. My Toshiba Satellite finally gave up the ghost after 8 years of Windows updates and I decided to go with something smaller, cheaper, simpler and lighter. This Chromebook is perfect for me. If you want a screen that is seriously crisp, don't choose this one. The screen is small and sometimes causes eye strain, although with the light turned lower my eyes can last for hours. I love the weight and size of this laptop. It's perfect for my online genealogy work and for emails and reading the news. Thanks. I highly recommend for anyone who doesn't need high resolution or a disk for gaming or graphics work."
functional chromebook,4.0,"a chromebook is a chromebook, somewhat. that said, what will stand out is the negatives: the screen is not the best...it's a little dull. the speakers are not the best...they're a little soft. but, the big problem was the price: i guess there was a big demand for chromebooks during lockdown, so the shysters raised the price on me. i bought it anyway. it was more than twice as much as my old ACER chromebook. all that said i'd probably get it again but look for a better deal. whatever....it's all going to get swallowed by the sun anyway \m/"
Chrome 4 Notebook real review,4.0,I am used to windows. I have always worked with android vs apple and found it difficult to upload all my desired apps. I had problems with OS reading my page while streaming Netflix and Prime. Message error every 20 minutes. It's a very basic notebook with only 1 port. Ok for young students.
Functional for my kindergartner,3.0,"The screen and camera are poor but it is a functional piece for a student, young student"
Better than expected,5.0,"I owned a chromebook before and changed to a Windows 10 which caused so many problems with bluetooth and droped utilities and the latest problem with the screen  background changing to white I gave up and decided to try chromebook agai.. The program works better than expected, bluetooth works without ag,itch my wireless mouse and headphones connected right ge the  computer away. The widows computer was a constant headache,. The only drawback is the ac adapter requires me to use the provided adapter to computer. It is unclear if I can use a USB plug to charge the battery as neither a USB-C nor an android plug fits the computer."
Very happy with it.,4.0,For the money I don't think you can beat it. I saw where folks were recommending getting 6gb ram and I'm glad I did.Pro's:  Great little Chromebook.  Quick.Con's:  Display could be better.
I like it just fine for what I'm using it for but it is small,5.0,"So far so good! Firstly we completely charge things before we use them for the first time. To all who will buy this, it is on the small side and thin but it's nice. I do wish it was packaged better for shipping, it literally came in the box it's sold in with very little support from getting jarred around in that box. I do know the carriers aren't always careful with packages so better packaging and more support would be a good thing before shipping so that the computer doesn't get jarred and banged up during the shipping process. There is nothing wrong with the computer at all and it works great but in my opinion would be great for younger people because of how small it is. For what I'm using it for it's perfect but if you're wanting a bigger screen so you can see things better and bigger this one isn't for you.  All in all so far so good tho I like it"
Good for Basic Use,4.0,"This is a decent computer for basic use like email and internet. The screen quality isn't the best. It's a bit dull. When I received this computer, I was surprised at how small it is. But it works for the kind of things I plan on doing with it."
"Poor Screen Quality, Lacks Normal Features",3.0,"Good RAM and performance.  The screen is worse than many 10+ year old laptops, doesn't seem to be HD or just barely.  Missing common features such as a touch screen or a backlit keyboard.  Wouldn't buy again."
We got two,5.0,"My husband bought me one for my birthday and we both liked it so much he just bought himself one. If you need a simple, cheap computer to work on with a long battery life, this is a great computer for that! I have mine on all the time and the battery lasts all day and even into the next. If you know android well, the computer works like that so you know it is simple and very customizable"
"Cheap., but.... Cheap",2.0,"The good...  It was cheap and I wanted a Chromebook to read emails and watch movies and tv shows.The screen is horrible quality.  You can only watch it if you are seeing it at the right angle, and even then it's is very bad (especially with dark colors).The sound is so tinny you can barely hear it without headphones.If you are considering this product, consider again and look for an alternative that has a better screen.  This one is virtually useless.One of the questions Amazon is asks is about the touch screen --  THIS IS NOT TOUCH SCREEN."
Waste of money,1.0,"I bought this Chromebook in June 2020 as a Christmas gift. Since 12/25 it's been used carefully & taken excellent care of. Recently, for no reason, in the middle of a Zoom call or some other activity, the screen goes black, it shuts off, and will not turn back on again for hours or days, even though it's fully charged. Support for the product ended in July, one month after purchase!! My suggestion? Whatever you buy, don't buy this!!!"
Great Little Chromebook but Be Aware of Limitations,3.0,"I'll start with the Cons:Cons: If you have a community internet system at an apartment or condo that requires a password to access the system, you will not be able to get online without jumping through a lot of hoops.  You will need to use another device (smart phone or Windows device) to get the information that explains how to do so, and it is complicated.  Buying a Chromebook is  for the purpose of simplicity and you won't be able to configure your Chromebook until you get past that hurdle.  The other con is that you cannot download the latest version of the Alexa app because it is not compatible with this unit.  If your purpose is to control/configure your smart home or other Alexa connected devices, you can't do it with this particular Chromebook.  If you want to get a Windows based laptop in the same price range, it will be in ""S"" mode, which is great; however, you will need to turn off ""S"" mode to get anything from an app store that is NOT Microsoft and can only use the Edge browser, again, by turning off S mode.  There is a simple way to remove ""S"" mode (which is for security) but once you take it off, you can never put it back on. so be aware.Pros: This is a fine looking, easy to use Chromebook that works as a Chromebook should - fast and easy to understand as long as you don't have the above listed situation.  It does not have a touch screen and the screen resolution is okay for the price point.  If you need this for a home schooled student or for just a quick way to browse the internet and make online purchases, this item is worth the money.  I'm disappointed that it didn't work out for me but in some situations, it will be just fine.  I tested the Chromebook on both a community internet system and a private residential system."
value laptop,4.0,It does the job for basic needs. Great computer for kids and teens. Amazon actually had the best price for this laptop
Good Overall - Low Quality Screen,4.0,"I use mine for writing manuscripts so I don't demand a lot of it. works fine, best feature is the battery life, I can write for 3-4 days without having to charge it. speakers aren't bad either. The only significant negative thing I can think of is the screen resolution, looks very very cheap and low quality, looks like a cheap portable DVD player screen from the early 2000's."
The screen...is really bad!,3.0,"Got the 6GB version. The screen stood out as VERY directional and looks washed out if you're at any angle that's not perfectly perpendicular to the screen.  If you have a Kindle fire HD, this screen will be a downgrade.  Was going to use this for digital learning but didn't want to risk destroying the kiddo's vision with this terrible screen.  Had to send it back."
It does the job!!,5.0,I love this laptop! It does its job. I just wanted a laptop for emails and to take my classes online and something not so expensive & this is it !! Great price and good quality. Battery life is excellent. And it came in good condition.
Only in a pinch,2.0,Dim screen.  It's cheap but you can do better.
Not bad for the price,3.0,Its slim and light weight. I like everything about it but the graphics. The clarity is terrible
"not worth the money, save an additional 100 dollars and just buy a laptop.",1.0,"not worth it, trying to connect a printer to a Chromebook is almost impossible even with printer id number, then you need router Id, then cable id, what a nightmare. for an extra 100 dollars you can get a decent laptop these days that is better than a 249 dollar Chromebook.  if this was 100 dollars I would say it's worth it, but save your money an extra 100 dollars and just buy a laptop. or better yet for about 120 dollars buy a decent galaxy Samsung tablet."
Unit works well but does not include an HDMI port.,4.0,"This is my second Chromebook.  I liked my first one so much, I bought a second built by a different manufacturer.  My first CB included an HDMI port which I use/d for an external monitor and/or TV  hook up. Thinking all Chromebooks had these ports, I was surprised when this arrived without one.  It's no big deal for me but if an HDMI port is a necessity this machine isn't for you.  Otherwise, I am very pleased."
"Good, except for the screen. Screen is garbage.",4.0,"Decent entry-level Chromebook. The keyboard is decent and the processor and RAM make it quick. The body is sturdy and could probably survive a drop. However, the screen is probably on of the worst screens I have ever used."
Basic and Reliable,4.0,"I purchased this for a friend that did not have a computer.  Since I had to assist with set up over the phone, a Chromebook is the easiest set up and easy for the user, so it was the best choice in this instance.  This model is bare bones - no touch screen, no backlighted keyboard.  The specs covered what I wanted it to do and the results have been great.  Worth the $$$"
Was supposed to be new,1.0,"I purposely bought a NEW device for my son after having issues with “refurbished” devices in the past and he had issues within the first 30 days.. I let the vendor know ASAP and was told that he would get a replacement… WELL, that didn’t happen and I’m afraid that I may be stuck with a defective device..I would NOT recommend purchasing anything from this vendor!"
